video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S,channel_name
Red Red - Delicious Ghanian Beans Stew,2022-11-25 12:49:49+00:00,63,0.0,0,2024-08-21 23:26:55.141285+00:00,0,3,17,Allnigerianfood
Chicken Okro Soup For the Family,2022-11-16 07:48:21+00:00,10147,136.0,10,2024-08-21 23:26:56.091402+00:00,0,4,10,Allnigerianfood
Ultimate Nigerian Cookbook 7th Edition (Best for making Nigerian foods),2021-02-01 18:57:51+00:00,447,23.0,7,2024-08-21 23:26:57.099688+00:00,0,0,44,Allnigerianfood
Akara | How to Fry Akara Like a Pro.,2020-09-03 10:29:50+00:00,3256,32.0,12,2024-08-21 23:26:58.900138+00:00,0,3,32,Allnigerianfood
White Soup (Nsala Soup) | Delicious Igbo Soup,2020-06-17 09:24:05+00:00,5637,29.0,2,2024-08-21 23:26:59.940579+00:00,0,3,6,Allnigerianfood
Vegetable soup | How to Make Soup with Vegetables in Nigeria,2020-03-20 06:25:23+00:00,6456,61.0,8,2024-08-21 23:27:01.528688+00:00,0,3,2,Allnigerianfood
Eba | How to Make Garri,2020-03-16 21:59:00+00:00,29845,229.0,21,2024-08-21 23:27:02.542493+00:00,0,1,38,Allnigerianfood
Groundnuts (Peanuts) | How To Fry in Nigeria,2020-02-21 17:55:13+00:00,9154,79.0,11,2024-08-21 23:27:03.512658+00:00,0,2,49,Allnigerianfood
How to make Pepper soup with Assorted meat.,2019-08-07 06:36:05+00:00,5026,38.0,2,2024-08-21 23:27:08.614557+00:00,0,1,32,Allnigerianfood
Nigerian Soups You Have Never Tasted,2018-09-10 23:37:21+00:00,3042,31.0,1,2024-08-21 23:27:09.509940+00:00,0,2,11,Allnigerianfood
Nkwobi Recipe | Igbo Foods,2018-08-27 20:03:27+00:00,22833,233.0,13,2024-08-21 23:27:10.488964+00:00,0,3,14,Allnigerianfood
Ultimate Nigerian Cookbook,2018-06-22 06:16:32+00:00,1056,16.0,16,2024-08-21 23:27:11.157258+00:00,0,2,45,Allnigerianfood
Okro Pepper Soup | Yummy,2018-05-19 06:56:06+00:00,9624,61.0,3,2024-08-21 23:27:11.947256+00:00,0,3,7,Allnigerianfood
Indomie Best Recipe | How to Prepare Noodles,2018-04-28 20:11:47+00:00,63199,445.0,26,2024-08-21 23:27:12.811251+00:00,0,1,47,Allnigerianfood
Moi Moi (Beans Pudding) Best Video Recipe.,2017-11-17 12:30:11+00:00,4153,25.0,3,2024-08-21 23:27:13.641614+00:00,0,1,57,Allnigerianfood
Akamu (Pap) in Just 3 seconds.,2017-09-06 23:33:08+00:00,2124,28.0,5,2024-08-21 23:27:14.632683+00:00,0,1,30,Allnigerianfood
Chicken Suya | You will love this one,2017-08-26 06:27:06+00:00,3765,56.0,7,2024-08-21 23:27:15.932999+00:00,0,3,12,Allnigerianfood
Tigernut Milk | My Favorite Milk Drink.,2017-06-29 05:59:24+00:00,14037,121.0,10,2024-08-21 23:27:17.493955+00:00,0,2,15,Allnigerianfood
Suya | The Best Way to Make Suya,2017-06-17 06:26:13+00:00,3545,51.0,3,2024-08-21 23:27:18.496191+00:00,0,3,28,Allnigerianfood
Aloe Vera Juice | Enjoy The Benefits Of Aloe,2017-06-13 11:56:50+00:00,2209,18.0,0,2024-08-21 23:27:19.452664+00:00,0,1,43,Allnigerianfood
"Good Yeast, Bad Yeast - The experiment",2017-06-03 12:04:50+00:00,214001,1436.0,118,2024-08-21 23:27:21.978965+00:00,0,2,32,Allnigerianfood
Home made Bread,2017-05-27 06:46:05+00:00,2890,28.0,3,2024-08-21 23:27:22.969583+00:00,0,3,17,Allnigerianfood
How To Make Chocolate Drip,2023-12-08 10:38:02+00:00,23,1.0,0,2024-08-21 23:41:35.811746+00:00,0,3,17,BluCake
BAKING FUN FOR KIDS,2023-08-03 02:42:10+00:00,46,4.0,3,2024-08-21 23:41:36.575727+00:00,0,1,1,BluCake
Citrus Cup Cake With Vanilla Yoghurt Coated Raisins,2022-12-16 18:30:11+00:00,31,4.0,4,2024-08-21 23:41:37.297026+00:00,0,12,59,BluCake
1st Quarter Season Review,2022-12-09 18:30:18+00:00,127,2.0,0,2024-08-21 23:41:38.052887+00:00,0,14,32,BluCake
How To Make Signature Brownies,2022-12-02 19:11:08+00:00,29,5.0,4,2024-08-21 23:41:38.781561+00:00,0,14,56,BluCake
How To Make Vanilla Swiss Roll,2022-11-25 18:30:08+00:00,32,4.0,0,2024-08-21 23:41:39.524631+00:00,0,15,0,BluCake
How To Make Apple Blondies With Chocolate Chip,2022-11-18 18:30:24+00:00,42,4.0,4,2024-08-21 23:41:40.276405+00:00,0,15,1,BluCake
How To Make Corn Dogs,2022-11-11 18:30:11+00:00,51,8.0,2,2024-08-21 23:41:41.066274+00:00,0,14,33,BluCake
"Bakes, Cake Making Fun ! Season 3!",2022-11-09 05:18:15+00:00,11,2.0,0,2024-08-21 23:41:41.786070+00:00,0,1,3,BluCake
Season 2 Finale,2022-07-29 18:30:20+00:00,30,5.0,4,2024-08-21 23:41:42.534469+00:00,0,14,59,BluCake
chocolate Chip Loaf,2022-07-22 20:28:50+00:00,27,3.0,0,2024-08-21 23:41:43.239044+00:00,0,15,51,BluCake
How To Make Banana Lime Cake the Easy Way.,2022-07-15 18:30:11+00:00,43,6.0,0,2024-08-21 23:41:44.010259+00:00,0,15,0,BluCake
How To Make Carrot Puff Puff( Part 2 Baking Fun for Kids),2022-07-08 18:30:19+00:00,36,5.0,2,2024-08-21 23:41:44.767608+00:00,0,14,50,BluCake
How To Make Carrot Puff Puff(Baking Fun For Kids Pt 2),2022-07-08 18:30:09+00:00,39,7.0,0,2024-08-21 23:41:45.484211+00:00,0,14,50,BluCake
Warm Molten Centered Chocolate Cupcake,2022-07-01 19:26:57+00:00,45,5.0,2,2024-08-21 23:41:46.179760+00:00,0,13,2,BluCake
How To Make Hot Dog Buns at Home//homemade hot dog buns,2022-06-24 18:30:13+00:00,73,9.0,4,2024-08-21 23:41:46.903881+00:00,0,14,59,BluCake
How To Make Victoria Sponge Cake at home.,2022-06-10 18:30:10+00:00,109,13.0,6,2024-08-21 23:41:47.653090+00:00,0,14,41,BluCake
How To Motivate  Your Staff,2022-06-06 20:19:37+00:00,15,6.0,2,2024-08-21 23:41:48.325136+00:00,0,6,45,BluCake
Black Forest Cake,2022-06-03 18:30:12+00:00,86,13.0,0,2024-08-21 23:41:49.098558+00:00,0,14,59,BluCake
Anniversary Show,2022-05-20 17:25:34+00:00,50,7.0,8,2024-08-21 23:41:49.858573+00:00,0,11,29,BluCake
Five Top Skills in Developing Your Team Pt 2,2022-05-16 21:00:37+00:00,11,3.0,0,2024-08-21 23:41:50.610458+00:00,0,3,36,BluCake
How To Make Nigerian Meatpie with gas cooker  in 2022(Edited),2022-05-15 22:32:48+00:00,894,6.0,3,2024-08-21 23:41:51.334454+00:00,0,17,3,BluCake
How To Make Doughnuts,2022-05-06 18:30:12+00:00,92,10.0,5,2024-08-21 23:41:52.048366+00:00,0,14,47,BluCake
5 Top Skills For Your Teams Development,2022-05-04 15:48:39+00:00,15,4.0,2,2024-08-21 23:41:52.783378+00:00,0,4,14,BluCake
"How To Make Milk Bread (No Egg, No Butter)",2022-04-29 18:11:29+00:00,69,6.0,4,2024-08-21 23:41:53.562523+00:00,0,12,9,BluCake
Crispy Oatmeal Cookies in 20 minutes,2022-04-22 19:43:51+00:00,45,6.0,0,2024-08-21 23:41:54.305496+00:00,0,13,27,BluCake
Market Positioning,2022-04-13 18:51:28+00:00,15,3.0,0,2024-08-21 23:41:55.051962+00:00,0,8,16,BluCake
Join our Affiliate Team,2022-04-01 17:36:25+00:00,30,7.0,0,2024-08-21 23:41:55.781258+00:00,0,1,0,BluCake
STRAWBERRY MILKSHAKE |MILKSHAKE RECIPE #strawberrymilkshake #milkshake,2024-08-11 10:12:52+00:00,81,,9.0,2024-08-21 23:20:44.196299+00:00,0,1,5,ChefPlaysfootball
FISH ROLL|FISH ROLL RECIPE|FISH ROLL NIGERIAN|AFRICAN FOOD #fishroll #nigerianfood,2024-07-21 19:51:52+00:00,211,,,2024-08-21 23:20:46.099027+00:00,0,1,46,ChefPlaysfootball
CHEESE AND ONION PASTY (GREGGS STYLE) |CHEESE AND ONION PASTY RECIPE |CHEESE AND ONION PASTY UK,2024-07-01 11:09:23+00:00,557,,9.0,2024-08-21 23:20:46.923763+00:00,0,3,10,ChefPlaysfootball
HOW TO MAKE NIGERIAN COLESLAW |NIGERIAN COLESLAW SALAD| COLESLAW |NIGERIAN SALAD |AFRICAN FOOD|SALAD,2024-06-19 10:18:41+00:00,170,,9.0,2024-08-21 23:20:48.909183+00:00,0,2,3,ChefPlaysfootball
FERRIS WHEEL|FERRIS WHEEL SOUTHAMPTON|SKYWHEELS|SHORTS FEED|BABY|CUTE BABY GIRL|BABY PLAYING |SHORTS,2023-12-27 11:19:07+00:00,113,,,2024-08-21 23:20:52.466487+00:00,0,2,0,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|FUFU AND AFANG SOUP WITH BEEF|NIGERIAN FOOD|FUFU MUKBANG |FUFU|ASMR MUKBANG,2023-12-14 21:51:51+00:00,154,,,2024-08-21 23:20:53.278291+00:00,0,7,1,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|CHICKEN WITH FUFU AND OKRA SOUP|NIGERIAN FOOD|FUFU MUKBANG|FUFU |OKRO |ASMR,2023-10-13 06:16:57+00:00,147,,,2024-08-21 23:20:54.088468+00:00,0,7,10,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|CHICKEN WITH FUFU AND OKRA SOUP|NIGERIAN FOOD|FUFU MUKBANG|FUFU |OKRO |ASMR,2023-09-21 08:02:36+00:00,657,,,2024-08-21 23:20:55.090267+00:00,0,6,56,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|FISH WITH FUFU AND OKRA SOUP|NIGERIAN FOOD|FUFU MUKBANG|FUFU|OKRO|ASMR|BEEF,2023-08-27 09:45:17+00:00,253,,,2024-08-21 23:20:55.678391+00:00,0,6,14,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|FISH WITH FUFU AND OKRA SOUP|NIGERIAN FOOD|FUFU MUKBANG|FUFU|OKRO|ASMR|BEEF,2023-08-19 06:53:11+00:00,44,,,2024-08-21 23:20:56.771528+00:00,0,2,57,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|FISH WITH FUFU AND OKRA SOUP|NIGERIAN FOOD|FUFU MUKBANG|FUFU|OKRO|ASMR|BEEF,2023-08-15 06:23:24+00:00,1127,,,2024-08-21 23:20:58.534205+00:00,0,4,13,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|FUFU AND AFANG SOUP WITH BEEF|NIGERIAN FOOD|FUFU MUKBANG |FUFU|ASMR MUKBANG,2023-08-06 19:41:34+00:00,1623,,,2024-08-21 23:21:00.249985+00:00,0,2,40,ChefPlaysfootball
"BABY EATING FUFU, FUFU AND AFANG SOUP WITH BEEF|AFRICAN FOOD|NIGERIAN FOOD|ASMR|CUTE BABY|MIXED RACE",2023-07-11 18:49:26+00:00,86,,,2024-08-21 23:21:01.255418+00:00,0,2,8,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|FUFU AND AFANG SOUP WITH BEEF|NIGERIAN FOOD|FUFU MUKBANG |FUFU|ASMR MUKBANG,2023-07-03 06:28:44+00:00,425,,,2024-08-21 23:21:02.521086+00:00,0,3,31,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|FUFU AND AFANG SOUP WITH BEEF|NIGERIAN FOOD|FUFU MUKBANG |FUFU|ASMR MUKBANG,2023-06-27 19:04:14+00:00,50,,,2024-08-21 23:21:03.527494+00:00,0,1,29,ChefPlaysfootball
"2 YEAR OLD CUTE BABY EATING FUFU, FUFU AND AFANG SOUP WITH BEEF|AFRICAN FOOD|NIGERIAN FOOD|ASMR|BABY",2023-06-23 05:57:11+00:00,60,,,2024-08-21 23:21:06.862032+00:00,0,1,59,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|FUFU AND AFANG SOUP WITH BEEF|NIGERIAN FOOD|FUFU MUKBANG |FUFU|ASMR MUKBANG,2023-06-19 07:02:57+00:00,196,,,2024-08-21 23:21:07.813046+00:00,0,3,4,ChefPlaysfootball
CUTE NIGERIAN LADIES SINGING AND DANCING DURING MY MAMA'S FUNERAL |NIGERIAN FUNERAL SONGS|IGBO DANCE,2023-06-15 22:40:10+00:00,122,,,2024-08-21 23:21:08.603788+00:00,0,4,0,ChefPlaysfootball
